Plate,Latitude,Longitude,Duration,Distance,Gender,Age
A1000,50.824148333333,4.3598316666667,366,1141,Male,47
A1001,50.813293333333,4.3480333333333,477,822,Male,40
A1002,50.79478,4.4161016666667,837,4118,Female,35
A1003,50.848658333333,4.3933566666667,294,1199,Male,47
A1004,50.832895,4.4411633333333,1149,2422,Male,40
A1005,50.852066666667,4.3509666666667,852,2872,Male,32
A1006,50.835835,4.3602533333333,476,1661,Male,39
A1007,50.863045,4.3545583333333,606,1018,Male,37
A1008,50.830476666667,4.3493033333333,253,749,Male,29
A1009,50.804301666667,4.3721966666667,290,1729,Male,23
A1010,50.861048333333,4.3599866666667,1442,3956,Male,35
A1011,50.798801666667,4.3619083333333,425,1007,Male,36
A1012,50.85037,4.3450233333333,662,638,Female,21
A1013,50.815611666667,4.367145,241,915,Male,18
A1014,50.852845,4.3871266666667,243,696,Female,33
A1015,50.838366666667,4.3523016666667,1431,4277,Female,46
A1016,50.805726666667,4.3450866666667,891,2996,Male,20
A1017,50.802353333333,4.3765933333333,2040,3302,Female,19
A1018,50.852191666667,4.3884533333333,607,2003,Male,30
A1019,50.830695,4.3756766666667,432,1451,Female,48
A1020,50.812838333333,4.4064933333333,789,2120,Male,45
A1021,50.829391666667,4.3702466666667,1151,2998,Male,33
A1022,50.831223333333,4.434735,538,207,Male,32
A1023,50.825093333333,4.3611066666667,898,2423,Male,33
A1024,50.847191666667,4.3560533333333,1097,1645,Male,28
A1025,50.839126666667,4.3494866666667,2469,8430,Female,29
A1026,50.850446666667,4.3444066666667,1742,102,Male,44
A1027,50.818931666667,4.3289033333333,2146,2731,Male,46
A1028,50.809266666667,4.4032766666667,582,1431,Male,33
A1029,50.847895,4.3571083333333,665,2984,Female,41
A1030,50.817511666667,4.365725,323,1216,Female,30
A1031,50.849095,4.4494933333333,361,994,Male,41
A1032,50.811878333333,4.358715,1491,1914,Female,30
A1033,50.848533333333,4.34904,1150,1723,Male,19
A1034,50.807453333333,4.3348183333333,642,2020,Male,27
A1035,50.82467,4.3688,6251,5314,Male,35
A1036,50.872688333333,4.357935,713,2276,Female,46
A1037,50.803618333333,4.339315,1432,2719,Male,31
A1038,50.79652,4.3356266666667,727,1096,Female,30
A1039,50.8381,4.3975133333333,418,556,Female,36
A1040,50.802376666667,4.3624133333333,908,1223,Male,32
A1041,50.830605,4.3607116666667,3649,495,Male,45
A1042,50.820563333333,4.38719,1189,3864,Male,31
A1043,50.819913333333,4.39797,892,2563,Male,36
A1044,50.805461666667,4.3746016666667,310,1538,Male,28
A1045,50.848608333333,4.34912,435,833,Female,23
A1046,50.840178333333,4.3378966666667,601,2535,Female,30
A1047,50.857213333333,4.3618983333333,373,926,Female,21
A1048,50.808566666667,4.3398916666667,778,3555,Female,34
A1049,50.864411666667,4.35216,957,2846,Male,30
A1050,50.860958333333,4.4003866666667,1496,5400,Male,23
A1051,50.832251666667,4.3699066666667,420,1371,Male,43
A1052,50.850571666667,4.33877,482,1488,Male,18
A1053,50.817483333333,4.388485,773,2602,Male,31
A1054,50.844718333333,4.422215,962,3877,Female,25
A1055,50.825111666667,4.2978333333333,1378,5873,Female,20
A1056,50.829971666667,4.3696983333333,364,980,Male,25
A1057,50.818766666667,4.2922116666667,1857,6477,Female,36
A1058,50.861153333333,4.3452366666667,199,506,Female,30
A1059,50.83726,4.3365766666667,888,4433,Female,39
A1060,50.834385,4.3690416666667,1913,3050,Female,27
A1061,50.838315,4.4095683333333,1447,5117,Female,23
A1062,50.847853333333,4.3494066666667,605,1780,Female,30
A1063,50.853685,4.4000066666667,429,1540,Female,41
A1064,50.850968333333,4.3736916666667,1817,1313,Male,34
A1065,50.828168333333,4.3387733333333,1446,3952,Male,44
A1066,50.856365,4.3884883333333,841,3324,Male,33
A1067,50.8235,4.36206,829,2318,Male,29
A1068,50.818778333333,4.3661066666667,721,2498,Male,26
A1069,50.794678333333,4.357705,193,325,Male,23
A1070,50.82779,4.3668883333333,346,1062,Female,35
A1071,50.854856666667,4.3533333333333,355,1118,Female,19
A1072,50.83506,4.3662816666667,483,1556,Female,29
A1073,50.814608333333,4.3649516666667,1086,3670,Female,23
A1074,50.832106666667,4.4527566666667,247,481,Male,40
A1075,50.839465,4.34045,613,1989,Female,32
A1076,50.872458333333,4.3802183333333,374,581,Female,48
A1077,50.8438,4.340495,410,1344,Male,46
A1078,50.802343333333,4.370855,171,667,Female,32
A1079,50.831343333333,4.357655,721,2747,Female,28
A1080,50.870143333333,4.3935983333333,399,1330,Female,40
A1081,50.832878333333,4.3667983333333,776,2784,Male,31
A1082,50.872228333333,4.38401,4976,5166,Male,24
A1083,50.856381666667,4.37926,593,1241,Male,47
A1084,50.825858333333,4.3604783333333,551,1893,Male,19
A1085,50.80597,4.3856916666667,798,3836,Female,40
A1086,50.825828333333,4.3603416666667,307,749,Male,32
A1087,50.848748333333,4.3409916666667,537,1707,Male,30
A1088,50.798198333333,4.3559733333333,537,1077,Male,34
A1089,50.84287,4.417825,1129,4474,Female,40
A1090,50.835481666667,4.4674433333333,1623,6202,Female,38
A1091,50.8308,4.3637533333333,605,1738,Female,26
A1092,50.829775,4.4204683333333,594,1041,Male,30
A1093,50.871845,4.3366066666667,779,1953,Female,43
A1094,50.828766666667,4.3768133333333,6835,1863,Male,23
A1095,50.820905,4.3610616666667,644,2039,Female,47
A1096,50.820395,4.3590066666667,295,1595,Female,35
A1097,50.850446666667,4.3892833333333,427,1095,Female,38
A1098,50.843531666667,4.39441,487,1380,Male,40
A1099,50.857538333333,4.368015,551,1651,Male,47
